fixture_key,match_date,market,player,side,entry_ts,entry_odds,entry_fair_probability,close_ts,close_odds,close_fair_probability,minutes_close_before_kickoff,clv_pct,clv_pct_normalised,clean_clv_pct,clv_quality,clv_source,result
fbd090b35d5ab77b,,sot,Melvin Bard,over,2026-08-19T06:42:08.392885+00:00,3.55,0.28169014084507044,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Ismaïla Sarr,over,2026-08-19T12:44:08.553699+00:00,1.74,0.5747126436781609,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Chris Wood,over,2026-08-19T12:44:08.555384+00:00,1.43,0.6993006993006994,,,,,,,,NO_CLOSE,,
c01ed155192b3c59,,sot,Benjamin Šeško,over,2026-08-19T12:44:08.557522+00:00,1.18,0.8474576271186441,,,,,,,,NO_CLOSE,,
c01ed155192b3c59,,sot,Bryan Mbeumo,over,2026-08-19T12:44:08.558976+00:00,1.32,0.7575757575757576,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Dan Ndoye,over,2026-08-19T12:44:08.560858+00:00,1.6,0.625,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Kiernan Dewsbury-Hall,over,2026-08-19T12:44:08.563560+00:00,1.83,0.5464480874316939,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Dwight McNeil,over,2026-08-19T12:44:08.566366+00:00,1.95,0.5128205128205129,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Callum Hudson-Odoi,over,2026-08-19T12:44:08.568346+00:00,1.74,0.5747126436781609,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Granit Xhaka,over,2026-08-19T12:44:08.569879+00:00,2.7,0.37037037037037035,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,James Garner,over,2026-08-19T12:44:08.571300+00:00,2.5,0.4,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Enzo Le Fée,over,2026-08-19T12:44:08.572872+00:00,1.86,0.5376344086021505,,,,,,,,NO_CLOSE,,
c01ed155192b3c59,,sot,Matt Crooks,over,2026-08-19T12:44:08.574759+00:00,2.7,0.37037037037037035,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,cards,Daniel Muñoz,over,2026-08-19T12:44:08.576613+00:00,3.0,0.3333333333333333,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Merlin Röhl,over,2026-08-19T12:44:08.578227+00:00,1.9,0.5263157894736842,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Neco Williams,over,2026-08-19T12:44:08.580777+00:00,2.9,0.3448275862068966,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Darnell Furlong,over,2026-08-19T12:44:08.582459+00:00,5.75,0.17391304347826086,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Justin Devenny,over,2026-08-19T12:44:08.583999+00:00,1.86,0.5376344086021505,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Dara O'Shea,over,2026-08-19T12:44:08.585486+00:00,3.1,0.3225806451612903,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,sot,Ethan Ampadu,over,2026-08-19T12:44:08.586927+00:00,5.0,0.2,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Daichi Kamada,over,2026-08-19T12:44:08.589039+00:00,3.1,0.3225806451612903,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,cards,Chris Richards,over,2026-08-19T12:44:08.590732+00:00,4.8,0.20833333333333334,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Trai Hume,over,2026-08-19T12:44:08.592323+00:00,3.5,0.2857142857142857,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Michael Keane,over,2026-08-19T12:44:08.594083+00:00,4.4,0.22727272727272727,,,,,,,,NO_CLOSE,,
c01ed155192b3c59,,cards,Bruno Fernandes,over,2026-08-19T12:44:08.595779+00:00,4.2,0.23809523809523808,,,,,,,,NO_CLOSE,,
1c30bcfdbcf38325,,sot,Jefferson Lerma,over,2026-08-19T12:44:08.597486+00:00,3.8,0.2631578947368421,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Azor Matusiwa,over,2026-08-19T12:44:08.599177+00:00,3.9,0.25641025641025644,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,sot,Jacob Greaves,over,2026-08-19T12:44:08.601375+00:00,6.0,0.16666666666666666,,,,,,,,NO_CLOSE,,
c01ed155192b3c59,,sot,Regan Slater,over,2026-08-19T12:44:08.602877+00:00,4.4,0.22727272727272727,,,,,,,,NO_CLOSE,,
dfc98c9085cbc0fb,,sot,Ademola Lookman,over,2026-08-19T18:36:19.826009+00:00,1.37,0.7299270072992701,,1.2,0.8333333333333334,,0.1417,14.17,14.1667,OK,v9_clv_records,
dfc98c9085cbc0fb,,goals,Ademola Lookman,over,2026-08-19T18:36:19.834141+00:00,2.6,0.3846153846153846,,2.38,0.42016806722689076,,0.0924,9.24,9.2437,OK,v9_clv_records,
9c5144070d360a75,2026-08-22,sot,Kylian Mbappé,over,2026-08-19T19:27:45.567532+00:00,1.11,0.9009009009009008,2026-08-22 07:01:23+00:00,1.11,0.9009009009009008,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Vinícius Júnior,over,2026-08-19T19:27:45.569328+00:00,1.16,0.8620689655172414,2026-08-22 07:01:23+00:00,1.16,0.8620689655172414,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,goals,Kylian Mbappé,over,2026-08-19T19:27:45.571074+00:00,1.67,0.5988023952095809,2026-08-22 07:01:23+00:00,1.67,0.5988023952095809,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot2,Kylian Mbappé,over,2026-08-19T19:27:45.572879+00:00,1.55,0.6451612903225806,2026-08-22 07:01:23+00:00,1.55,0.6451612903225806,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Jude Bellingham,over,2026-08-19T19:27:45.575285+00:00,1.39,0.7194244604316548,2026-08-22 07:01:23+00:00,1.39,0.7194244604316548,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Arda Güler,over,2026-08-19T19:27:45.578414+00:00,1.33,0.7518796992481203,2026-08-22 07:01:23+00:00,1.33,0.7518796992481203,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,goals,Vinícius Júnior,over,2026-08-19T19:27:45.582125+00:00,2.75,0.36363636363636365,2026-08-22 07:01:23+00:00,2.75,0.36363636363636365,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Federico Valverde,over,2026-08-19T19:27:45.584311+00:00,1.46,0.684931506849315,2026-08-22 07:01:23+00:00,1.46,0.684931506849315,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot2,Vinícius Júnior,over,2026-08-19T19:27:45.586997+00:00,1.76,0.5681818181818182,2026-08-22 07:01:23+00:00,1.76,0.5681818181818182,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,goals,Jude Bellingham,over,2026-08-19T19:27:45.589257+00:00,4.0,0.25,2026-08-22 07:01:23+00:00,4.0,0.25,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Tyrhys Dolan,over,2026-08-19T19:27:45.591949+00:00,2.25,0.4444444444444444,2026-08-22 07:01:23+00:00,2.25,0.4444444444444444,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Brahim Díaz,over,2026-08-19T19:27:45.595910+00:00,1.44,0.6944444444444444,2026-08-22 07:01:23+00:00,1.44,0.6944444444444444,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,goals,Arda Güler,over,2026-08-19T19:27:45.598962+00:00,5.0,0.2,2026-08-22 07:01:23+00:00,5.0,0.2,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
9c5144070d360a75,2026-08-22,sot,Leandro Cabrera,over,2026-08-19T19:27:45.605088+00:00,4.0,0.25,2026-08-22 07:01:23+00:00,4.0,0.25,-421.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
e0ce14f7650df5f1,,goals,Gorka Guruzeta,over,2026-08-20T01:05:42.136591+00:00,2.63,0.3802281368821293,,,,,,,,NO_CLOSE,,
e0ce14f7650df5f1,,sot,Gorka Guruzeta,over,2026-08-20T12:45:08.343280+00:00,1.36,0.7352941176470588,,,,,,,,NO_CLOSE,,
e0ce14f7650df5f1,,sot,Iñaki Williams,over,2026-08-20T12:45:08.346429+00:00,1.57,0.6369426751592356,,,,,,,,NO_CLOSE,,
e0ce14f7650df5f1,,sot,Robert Navarro,over,2026-08-20T12:45:08.351666+00:00,1.62,0.6172839506172839,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,cards,Ao Tanaka,over,2026-08-20T12:45:08.355856+00:00,6.0,0.16666666666666666,,,,,,,,NO_CLOSE,,
e0ce14f7650df5f1,,sot,Yuri Berchiche,over,2026-08-20T12:45:08.360939+00:00,3.6,0.2777777777777778,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,cards,Ethan Ampadu,over,2026-08-20T12:45:08.362796+00:00,3.25,0.3076923076923077,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,cards,Nordi Mukiele,over,2026-08-20T12:45:08.366764+00:00,4.75,0.21052631578947367,,,,,,,,NO_CLOSE,,
df76fcaf84d93182,,cards,Reinildo Mandava,over,2026-08-20T12:45:08.368782+00:00,3.4,0.29411764705882354,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,cards,Gabriel Gudmundsson,over,2026-08-20T12:45:08.370788+00:00,5.5,0.18181818181818182,,,,,,,,NO_CLOSE,,
b82e04db70ea34e1,,cards,Dan Ndoye,over,2026-08-20T12:45:08.373283+00:00,4.8,0.20833333333333334,,,,,,,,NO_CLOSE,,
