variant,month,target,dataset_id,retrain_id,train_start,train_end,n_train,n_test,target_prevalence,majority_accuracy,accuracy,accuracy_lift,auc,pr_auc,brier,log_loss,ece,baseline_log_loss,baseline_brier,margin_vs_baseline_ll,mean_predicted,mean_actual,model_age_months,gate_decision,interpretable
v9_path,2023-12,over35,224c9e62c728,v9_path:2023-12,2019-02-22,2023-11-30,26224,978,0.2822,0.7178,0.7137,-0.409,0.6152,0.3753,0.1964,0.57942,0.01838,0.59431,0.20165,0.01489,0.3006,0.2822,0,PROMOTE,True
v9_path,2024-01,btts,3b0c9537097a,v9_path:2024-01,2019-02-22,2023-12-30,27202,730,0.5685,0.5685,0.589,2.055,0.5739,0.667,0.23892,0.66976,0.03038,0.68779,0.24729,0.01803,0.5401,0.5685,0,PROMOTE,True
v9_path,2024-01,over15,3b0c9537097a,v9_path:2024-01,2019-02-22,2023-12-30,27202,730,0.7616,0.7616,0.7616,0.0,0.5793,0.8113,0.1791,0.54217,0.0135,0.54897,0.18103,0.00681,0.7659,0.7616,0,PROMOTE,True
v9_path,2024-01,over25,3b0c9537097a,v9_path:2024-01,2019-02-22,2023-12-30,27202,730,0.5301,0.5301,0.5507,2.055,0.5835,0.6156,0.2426,0.67778,0.02771,0.68741,0.24706,0.00962,0.5137,0.5301,0,PROMOTE,True
v9_path,2024-01,over35,3b0c9537097a,v9_path:2024-01,2019-02-22,2023-12-30,27202,730,0.3014,0.6986,0.6986,0.0,0.5613,0.3659,0.20799,0.6056,0.03233,0.61441,0.21157,0.00881,0.2848,0.3014,0,PROMOTE,True
v9_path,2024-02,btts,270b3ec5bbb4,v9_path:2024-02,2019-02-22,2024-01-31,27932,1162,0.5344,0.5344,0.5818,4.733,0.6072,0.6404,0.23759,0.66716,0.02749,0.68597,0.24643,0.01881,0.5343,0.5344,0,PROMOTE,True
v9_path,2024-02,over15,270b3ec5bbb4,v9_path:2024-02,2019-02-22,2024-01-31,27932,1162,0.7539,0.7539,0.759,0.516,0.5949,0.8124,0.17991,0.54345,0.02254,0.55437,0.18402,0.01092,0.7523,0.7539,0,PROMOTE,True
v9_path,2024-02,over25,270b3ec5bbb4,v9_path:2024-02,2019-02-22,2024-01-31,27932,1162,0.4983,0.5017,0.5723,7.057,0.6003,0.5822,0.24215,0.67729,0.00626,0.68616,0.24651,0.00887,0.5026,0.4983,0,PROMOTE,True
v9_path,2024-02,over35,270b3ec5bbb4,v9_path:2024-02,2019-02-22,2024-01-31,27932,1162,0.284,0.716,0.7203,0.43,0.5914,0.3682,0.19805,0.58291,0.04182,0.59238,0.20176,0.00948,0.2893,0.284,0,PROMOTE,True
v9_path,2024-03,btts,df30f58796ad,v9_path:2024-03,2019-02-22,2024-02-29,29094,1308,0.5145,0.5145,0.5512,3.67,0.5824,0.5994,0.24344,0.67945,0.01775,0.69659,0.25168,0.01715,0.5269,0.5145,0,PROMOTE,True
v9_path,2024-03,over15,df30f58796ad,v9_path:2024-03,2019-02-22,2024-02-29,29094,1308,0.7248,0.7248,0.7248,0.0,0.6054,0.7921,0.19544,0.57818,0.03211,0.58747,0.19895,0.00929,0.7528,0.7248,0,PROMOTE,True
v9_path,2024-03,over25,df30f58796ad,v9_path:2024-03,2019-02-22,2024-02-29,29094,1308,0.4962,0.5038,0.5604,5.657,0.5889,0.5892,0.2447,0.68258,0.03277,0.69695,0.25188,0.01438,0.5031,0.4962,0,PROMOTE,True
v9_path,2024-03,over35,df30f58796ad,v9_path:2024-03,2019-02-22,2024-02-29,29094,1308,0.2867,0.7133,0.7164,0.306,0.6146,0.3997,0.19716,0.58171,0.01099,0.59781,0.20394,0.01611,0.2794,0.2867,0,PROMOTE,True
v9_path,2024-04,btts,a4a3578bb191,v9_path:2024-04,2019-02-22,2024-03-31,30402,1706,0.5498,0.5498,0.5739,2.403,0.5884,0.6454,0.23918,0.67042,0.02404,0.68741,0.24713,0.017,0.5362,0.5498,0,PROMOTE,True
v9_path,2024-04,over15,a4a3578bb191,v9_path:2024-04,2019-02-22,2024-03-31,30402,1706,0.7544,0.7544,0.7544,0.0,0.6099,0.8184,0.18023,0.54383,0.01151,0.5535,0.18381,0.00967,0.7529,0.7544,0,PROMOTE,True
v9_path,2024-04,over25,a4a3578bb191,v9_path:2024-04,2019-02-22,2024-03-31,30402,1706,0.5369,0.5369,0.5627,2.579,0.5884,0.6252,0.24309,0.67899,0.03671,0.69058,0.24868,0.01159,0.506,0.5369,0,PROMOTE,True
v9_path,2024-04,over35,a4a3578bb191,v9_path:2024-04,2019-02-22,2024-03-31,30402,1706,0.3048,0.6952,0.6975,0.234,0.6143,0.4069,0.20435,0.59626,0.02463,0.60961,0.20971,0.01335,0.2838,0.3048,0,PROMOTE,True
v9_path,2024-05,btts,224e1aa87cda,v9_path:2024-05,2019-02-22,2024-04-30,32108,1245,0.5622,0.5622,0.5566,-0.562,0.5868,0.6644,0.23598,0.66239,0.05353,0.68251,0.2447,0.02012,0.5502,0.5622,0,PROMOTE,True
v9_path,2024-05,over15,224e1aa87cda,v9_path:2024-05,2019-02-22,2024-04-30,32108,1245,0.7727,0.7727,0.7727,0.0,0.6197,0.8397,0.17041,0.521,0.01027,0.53259,0.17446,0.01158,0.7637,0.7727,0,PROMOTE,True
