policy,target,month,adopted,val_champ,val_cand,next_month_live,next_month_challenger
always_promote,btts,2025-07,True,0.65318,0.65085,0.66856,0.66856
never_promote,btts,2025-07,False,0.68984,0.65085,0.68703,0.66856
v9_current_tol005,btts,2025-07,True,0.65318,0.65085,0.66856,0.66856
not_worse_tol000,btts,2025-07,True,0.65318,0.65085,0.66856,0.66856
must_improve_tol000,btts,2025-07,True,0.65318,0.65085,0.66856,0.66856
must_improve_tol002,btts,2025-07,True,0.65318,0.65085,0.66856,0.66856
v9_rule_6m_window,btts,2025-07,True,0.65223,0.65124,0.66856,0.66856
two_window_tol005,btts,2025-07,True,0.65318,0.65085,0.66856,0.66856
always_promote,btts,2025-08,True,0.65581,0.64991,0.6824,0.6824
never_promote,btts,2025-08,False,0.6901,0.64991,0.68456,0.6824
v9_current_tol005,btts,2025-08,True,0.65581,0.64991,0.6824,0.6824
not_worse_tol000,btts,2025-08,True,0.65581,0.64991,0.6824,0.6824
must_improve_tol000,btts,2025-08,True,0.65581,0.64991,0.6824,0.6824
must_improve_tol002,btts,2025-08,True,0.65581,0.64991,0.6824,0.6824
v9_rule_6m_window,btts,2025-08,True,0.65303,0.65192,0.6824,0.6824
two_window_tol005,btts,2025-08,True,0.65581,0.64991,0.6824,0.6824
always_promote,btts,2025-09,True,0.67003,0.65329,0.6793,0.6793
never_promote,btts,2025-09,False,0.68616,0.65329,0.68843,0.6793
v9_current_tol005,btts,2025-09,True,0.67003,0.65329,0.6793,0.6793
not_worse_tol000,btts,2025-09,True,0.67003,0.65329,0.6793,0.6793
must_improve_tol000,btts,2025-09,True,0.67003,0.65329,0.6793,0.6793
must_improve_tol002,btts,2025-09,True,0.67003,0.65329,0.6793,0.6793
v9_rule_6m_window,btts,2025-09,True,0.65961,0.6516,0.6793,0.6793
two_window_tol005,btts,2025-09,True,0.67003,0.65329,0.6793,0.6793
always_promote,btts,2025-10,True,0.66407,0.66088,0.6636,0.6636
never_promote,btts,2025-10,False,0.68646,0.66088,0.68277,0.6636
v9_current_tol005,btts,2025-10,True,0.66407,0.66088,0.6636,0.6636
not_worse_tol000,btts,2025-10,True,0.66407,0.66088,0.6636,0.6636
must_improve_tol000,btts,2025-10,True,0.66407,0.66088,0.6636,0.6636
must_improve_tol002,btts,2025-10,True,0.66407,0.66088,0.6636,0.6636
v9_rule_6m_window,btts,2025-10,True,0.65627,0.65853,0.6636,0.6636
two_window_tol005,btts,2025-10,False,0.66407,0.66088,0.6631,0.6636
always_promote,btts,2025-11,True,0.66224,0.65322,0.68326,0.68326
never_promote,btts,2025-11,False,0.68523,0.65322,0.70098,0.68326
v9_current_tol005,btts,2025-11,True,0.66224,0.65322,0.68326,0.68326
not_worse_tol000,btts,2025-11,True,0.66224,0.65322,0.68326,0.68326
must_improve_tol000,btts,2025-11,True,0.66224,0.65322,0.68326,0.68326
must_improve_tol002,btts,2025-11,True,0.66224,0.65322,0.68326,0.68326
v9_rule_6m_window,btts,2025-11,True,0.66063,0.65282,0.68326,0.68326
two_window_tol005,btts,2025-11,True,0.66621,0.65322,0.68326,0.68326
