policy,target,month,n_test,live_log_loss,live_brier,challenger_log_loss,adopted
must_improve_tol002,btts,2025-11,1169,0.68326,0.24539,0.68326,True
v9_rule_6m_window,btts,2025-11,1169,0.68326,0.24539,0.68326,True
two_window_tol005,btts,2025-11,1169,0.68326,0.24539,0.68326,True
always_promote,btts,2025-12,839,0.67823,0.24284,0.67823,True
never_promote,btts,2025-12,839,0.69104,0.24886,0.67823,False
v9_current_tol005,btts,2025-12,839,0.67823,0.24284,0.67823,True
not_worse_tol000,btts,2025-12,839,0.67823,0.24284,0.67823,True
must_improve_tol000,btts,2025-12,839,0.67823,0.24284,0.67823,True
must_improve_tol002,btts,2025-12,839,0.6771,0.24242,0.67823,False
v9_rule_6m_window,btts,2025-12,839,0.67823,0.24284,0.67823,True
two_window_tol005,btts,2025-12,839,0.6771,0.24242,0.67823,False
always_promote,btts,2026-01,940,0.67392,0.24087,0.67392,True
never_promote,btts,2026-01,940,0.69609,0.25135,0.67392,False
v9_current_tol005,btts,2026-01,940,0.67392,0.24087,0.67392,True
not_worse_tol000,btts,2026-01,940,0.67392,0.24087,0.67392,True
must_improve_tol000,btts,2026-01,940,0.67392,0.24087,0.67392,True
must_improve_tol002,btts,2026-01,940,0.67392,0.24087,0.67392,True
v9_rule_6m_window,btts,2026-01,940,0.67392,0.24087,0.67392,True
two_window_tol005,btts,2026-01,940,0.67392,0.24087,0.67392,True
always_promote,btts,2026-02,1248,0.67147,0.23968,0.67147,True
never_promote,btts,2026-02,1248,0.68504,0.246,0.67147,False
v9_current_tol005,btts,2026-02,1248,0.67147,0.23968,0.67147,True
not_worse_tol000,btts,2026-02,1248,0.67147,0.23968,0.67147,True
must_improve_tol000,btts,2026-02,1248,0.67147,0.23968,0.67147,True
must_improve_tol002,btts,2026-02,1248,0.67147,0.23968,0.67147,True
v9_rule_6m_window,btts,2026-02,1248,0.67147,0.23968,0.67147,True
two_window_tol005,btts,2026-02,1248,0.67147,0.23968,0.67147,True
always_promote,btts,2026-03,1322,0.67395,0.24097,0.67395,True
never_promote,btts,2026-03,1322,0.69685,0.25176,0.67395,False
v9_current_tol005,btts,2026-03,1322,0.67395,0.24097,0.67395,True
not_worse_tol000,btts,2026-03,1322,0.67395,0.24097,0.67395,True
must_improve_tol000,btts,2026-03,1322,0.67395,0.24097,0.67395,True
must_improve_tol002,btts,2026-03,1322,0.67395,0.24097,0.67395,True
v9_rule_6m_window,btts,2026-03,1322,0.67395,0.24097,0.67395,True
two_window_tol005,btts,2026-03,1322,0.67395,0.24097,0.67395,True
always_promote,btts,2026-04,1653,0.67416,0.24116,0.67416,True
never_promote,btts,2026-04,1653,0.68969,0.24813,0.67416,False
v9_current_tol005,btts,2026-04,1653,0.67416,0.24116,0.67416,True
not_worse_tol000,btts,2026-04,1653,0.67392,0.24111,0.67416,False
must_improve_tol000,btts,2026-04,1653,0.67392,0.24111,0.67416,False
must_improve_tol002,btts,2026-04,1653,0.67392,0.24111,0.67416,False
v9_rule_6m_window,btts,2026-04,1653,0.67416,0.24116,0.67416,True
two_window_tol005,btts,2026-04,1653,0.67392,0.24111,0.67416,False
always_promote,btts,2026-05,1224,0.65545,0.23247,0.65545,True
never_promote,btts,2026-05,1224,0.67471,0.24091,0.65545,False
v9_current_tol005,btts,2026-05,1224,0.65545,0.23247,0.65545,True
not_worse_tol000,btts,2026-05,1224,0.65545,0.23247,0.65545,True
must_improve_tol000,btts,2026-05,1224,0.65545,0.23247,0.65545,True
must_improve_tol002,btts,2026-05,1224,0.65545,0.23247,0.65545,True
v9_rule_6m_window,btts,2026-05,1224,0.65545,0.23247,0.65545,True
two_window_tol005,btts,2026-05,1224,0.65154,0.23078,0.65545,False
always_promote,btts,2026-06,92,0.6707,0.23912,0.6707,True
never_promote,btts,2026-06,92,0.68569,0.24608,0.6707,False
v9_current_tol005,btts,2026-06,92,0.6707,0.23912,0.6707,True
not_worse_tol000,btts,2026-06,92,0.6707,0.23912,0.6707,True
must_improve_tol000,btts,2026-06,92,0.6707,0.23912,0.6707,True
must_improve_tol002,btts,2026-06,92,0.6707,0.23912,0.6707,True
v9_rule_6m_window,btts,2026-06,92,0.6707,0.23912,0.6707,True
two_window_tol005,btts,2026-06,92,0.6707,0.23912,0.6707,True
always_promote,btts,2026-07,441,0.65844,0.2341,0.65844,True
never_promote,btts,2026-07,441,0.68348,0.24505,0.65844,False
